PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH;NO_ORDER
2000000634647;ROOS GR SHOGUN WWF;3;WORLD FLOWERS B.V.;Словакия;Роза / Роза большеголовая;Сегун WWF;NA;50;10;Роза Сегун WWF. 50см.!;29,4;50;0;0;0;0;;0;0;0;0
1000000279788;17408;3;G Van Dijk im & export b.v.;Нидерланды;Новый год и Рождество / Новый Год и Рождество;Яблоко на палке 5 кра лед;Красный;0;1;Яблоко на палке 5 кра лед;1434;237;0;0;0;0;;0;0;0;0
1000000431070;2195;3;G Van Dijk im & export b.v.;Португалия;Новый год и Рождество / Новый Год и Рождество;Дек. Шишка Маритима;Натуральный;0;1;Дек. Шишка Маритима. Кор;646;1;0;0;0;0;;0;0;0;0
1000000215380;23906;3;G Van Dijk im & export b.v.;Германия;Роза / Роза кустовая;Кустовая Мария Терезия;Персиковый;50;10;Роза Кустовая Мария Терезия. 50см;138;10;20;0;0;0;;0;0;0;0
2000000639505;Ilex Ve Red 60 WWF;3;WORLD FLOWERS B.V.;Словакия;Другие цветы / Илекс;Илекс Ред WWF;NA;60;10;Илекс Ред WWF. 60см;97;20;-130;0;0;0;;0;0;0;0
2000000623894;15126;3;G Van Dijk im & export b.v.;Колумбия;Роза / Роза большеголовая;Краш Галакси;NA;70;20;Роза Краш Галакси. 70см;154;50;0;0;0;0;;0;0;0;0
2000000585697;MATTHIOLA INCANA WHITE;3;PROMOFLOR SRL;Италия;Другие цветы / Маттиола;Матиола Инкана Уайт (Ит);Белый;0;10;Матиола Инкана Уайт (Ит);127;50;40;0;0;0;;0;0;0;0
2000000624099;MOODY BLUES GR SBT;3;SUBATI FLOWERS LTD;Кения;Роза Кения / Субати (SBT);Муди Блюз SBT;NA;60;10;Роза Кения Муди Блюз SBT. 60см;72,4;10;-20;0;0;0;;0;0;0;0
2000000571072;Alstro Marlin BAT;3;BATIAN;Кения;Альстромерия / Альстромерия;Альстромерия Марлин BAT;NA;0;5;Альстромерия Марлин BAT;66,5;60;-220;0;0;0;;0;0;0;0
1000000468748;Giardina TH;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Жардина RLR;NA;60;10;Роза Кения Жардина RLR. 60см;73,9;30;-260;0;0;0;;0;0;0;0
