PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH
2000000123561;;2;Ecri pottenbakkers;Нидерланды;Предметы для интерьера / Эксклюзивная керамика Ecri;Ваза;Черный/позолота;0;1;HV111 BR 2E Ваза. Черный/позолота. 23см.34см;5700;1;0;0;0;0;;0;0;0
2000000129372;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Эдвенчер;Желтый;0;0;02328142000400020 Лента Эдвенчер. Желтый. 20м.40мм;389;1;0;0;0;0;;0;0;0
2000000306315;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Гортензия;Лавандовый;0;0;42224-20 Гортензия. Лавандовый. 47см;319;1;1;0;0;0;;0;0;0
2000000280363;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Луфа;Фуксия;0;8;2224P006 Луфа. Фуксия. 8-12см;396;12;0;0;0;0;;0;0;0
2000000280370;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Луфа;Оранжевый;0;8;2224P008 Луфа. Оранжевый. 8-12см;396;5;0;0;0;0;;0;0;0
2000000280387;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Луфа;Светло-зелёный;0;8;2224P014 Луфа. Светло-зелёный. 8-12см;396;7;0;0;0;0;;0;0;0
2000000280394;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Луфа;Светло-розовый;0;8;2224P109 Луфа. Светло-розовый. 8-12см;396;6;0;0;0;0;;0;0;0
2000000280417;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Лунария;Светло-зелёный;0;0;2231P014 Лунария. Светло-зелёный. 40грамм;874;3;0;0;0;0;;0;0;0
2000000280431;;1;Подворье "АЛЬБИН";Россия;Горшечные растения / Сопутствующие товары;Грунт "Вермион" универсальный;Неопределённый;0;0;Грунт "Вермион" универсальный. 5л;59,9;637;48;0;0;0;;0;0;0
2000000280448;;1;Подворье "АЛЬБИН";Россия;Горшечные растения / Сопутствующие товары;Грунт "Вермион" универсальный;Неопределённый;0;0;Грунт "Вермион" универсальный. 24л;199,9;29;75;0;0;0;;0;0;0
2000000277561;;1;Hydrohuisman;Нидерланды;Кашпо / Кашпо Лечуза;Горшок "Лечуза Кубико" ;Антрацит;75;0;Горшок "Лечуза Кубико" . Антрацит. 40см.40см.75см;6995;6;2;0;0;0;;0;0;0
2000000341897;;2;Casablanca;Германия;Предметы для интерьера / Свечи и подсвечники;Свечка "Мухомор";Красно-белый;0;0;42936 Свечка "Мухомор". Красно-белый. 12.5см;294;10;0;0;0;0;;0;0;0
2000000273068;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Амарантус;Зеленый;0;0;52113-01 Амарантус. Зеленый. 100см;377;9;2;0;0;0;;0;0;0
2000000273075;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Амарантус;Кремовый;0;0;52113-05 Амарантус. Кремовый. 100см;377;10;1;0;0;0;;0;0;0
2000000273082;;2;DPI gmbh;Германия;Искусственные цветы / Искусственные цветы;Самшит круглый;Зеленый;0;0;54900-3 Самшит круглый. Зеленый. 30см;1950;9;0;0;0;0;;0;0;0
2000000278803;;2;Alicanti S.p.A. / Van Dijk;Нидерланды;Новогодняя коллекция / Украшения, венки, снег;Украшение новогоднее настольное;Золотой;0;0;8201910206 Украшение новогоднее настольное. Золотой. 180см.12см;381,65;17;0;0;0;0;;0;0;0
2000000279053;;2;Smithers-Oasis Germany;Германия;Оазис / Оазис для сухоцветов;Оазис для сухоцветов пласт;Серый;0;20;2348 Оазис для сухоцветов пласт. Серый. 12см.29см.25см;247;10;0;0;0;0;;0;0;0
2000000280509;;2;Casablanca;Германия;Новогодняя коллекция / Новогодние сувениры;Композиция "Оле";Коричневый;0;0;54586 Композиция "Оле". Коричневый. 48см;1348;2;0;0;0;0;;0;0;0
2000000280547;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Тарвэ;Красный;0;0;5233N010 Тарвэ. Красный. 60см.200грамм;293;28;0;0;0;0;;0;0;0
2000000280561;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Листья Калла Вуд ;Белый;0;12;2235N001 Листья Калла Вуд . Белый. 35см;352;4;0;0;0;0;;0;0;0
2000000280578;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Ветки Кане Коун;Желтый;0;10;2096N003 Ветки Кане Коун. Желтый. 55см;269;26;0;0;0;0;;0;0;0
2000000280585;;2;Van Dijk / Meschi;Нидерланды;Сухоцветы / Травы, цветы, листья;Ветки Кане Коун;Оранжевый;0;10;2096N008 Ветки Кане Коун. Оранжевый. 55см;269;9;0;0;0;0;;0;0;0
2000000274928;;2;Hakbijl Glass;Нидерланды;Предметы для интерьера / Стекло;Ваза стеклянная "Маси";Прозрачный;0;0;17728 Ваза стеклянная "Маси". Прозрачный. 70см.29см;1865;4;0;0;0;0;;0;0;0
2000000345215;;1;G Van Dijk im & export b.v.;Нидерланды;Горшечные растения / Кактусы и суккуленты;Молочай Тирукалли;NA;90;0;Молочай Тирукалли. 19СМ.90СМ;1295;5;0;0;0;0;;0;0;0
2000000267326;;2;Koen Pack B.V;Нидерланды;Искусственные цветы / Плоды, ягоды;Ананас на стике;Желтый/Зеленый;0;0;K.3414 Ананас на стике. Желтый/Зеленый. 50см;19,3;82;0;0;0;0;;0;0;0
2000000268415;;2;Van Dilliwijn;Нидерланды;Аксессуары для флористов / Инструменты, оборудование;Клей для пистолета;NA;0;0;3680213 Клей для пистолета. 2кг;1950;48;0;0;0;0;;0;0;0
2000000268965;;2;Smithers-Oasis Germany;Германия;Оазис / Прочее;Присоска;NA;0;6;3106 Присоска. ;238;12;0;0;0;0;;0;0;0
2000000269436;;2;Smither-Oasis Denmark ;Дания;Оазис / Клей, краска, лента;Краска ;Слоновая кость;0;0;5428 Краска . Слоновая кость. 400мл;340;1;0;0;0;0;;0;0;0
